degradation,severity,n,accuracy,acc_lo,acc_hi,auroc_verb,auroc_verb_lo,auroc_verb_hi,auroc_int,auroc_int_lo,auroc_int_hi
clean,0,100,0.99,0.97,1.0,0.4949,0.4745,0.5104,0.9192,0.8586,0.9697
glare,1,100,0.98,0.95,1.0,0.5,0.5,0.5,0.8214,0.6667,0.949
glare,2,100,0.93,0.88,0.97,0.6374,0.4894,0.8333,0.851,0.722,0.9588
glare,3,100,0.87,0.8,0.93,0.6923,0.55,0.8333,0.9089,0.7973,0.9814
jpeg,1,100,0.99,0.97,1.0,1.0,1.0,1.0,0.9899,0.9691,1.0
jpeg,2,100,0.99,0.97,1.0,1.0,1.0,1.0,0.9899,0.9694,1.0
jpeg,3,100,0.95,0.9,0.99,0.875,0.5,1.0,0.9621,0.908,1.0
low_light,1,100,0.99,0.97,1.0,0.3918,0.3454,0.4312,0.9596,0.9184,0.9899
low_light,2,100,0.92,0.86,0.97,0.6138,0.4348,0.7944,0.9212,0.8315,0.9878
low_light,3,100,0.22,0.14,0.3,0.6795,0.5446,0.8006,0.6166,0.4834,0.7483
motion_blur,1,100,1.0,1.0,1.0,,,,,,
motion_blur,2,100,0.98,0.95,1.0,1.0,1.0,1.0,0.9898,0.9592,1.0
motion_blur,3,100,0.93,0.88,0.98,0.5714,0.5,0.75,0.9647,0.8974,1.0
resample,1,100,0.99,0.97,1.0,0.5,0.5,0.5,0.9293,0.8776,0.9731
resample,2,100,0.95,0.91,0.99,0.6043,0.5,0.8356,0.9726,0.9368,1.0
resample,3,100,0.92,0.86,0.97,0.5,0.3,0.7,0.9497,0.8827,0.9965
rotation,1,100,1.0,1.0,1.0,,,,,,
rotation,2,100,0.98,0.95,1.0,0.75,0.5,1.0,0.9949,0.9725,1.0
rotation,3,100,0.99,0.97,1.0,0.5,0.5,0.5,0.9798,0.949,1.0
